id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
13,anovate cream,Pilo GO Cream,PileClear Cream,Proctosedyl BD Cream,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Piles,,,,,,No,DERMA,,Anovate cream is made of these three substances primarily – Beclomethasone (0.025 %) + Phenylephrine (0.1 %) + Lidocaine (2.5 %). Phenylephrine is a decongestant that shrinks the blood vessels in the affected area of skin and decreases swelling.15 Dec 2022
14,augmentin duo oral suspension,Goldclav Oral Suspension,Moxiclip Dry Syrup,Tervis DS Oral Suspension,Bestomax Dry Syrup,Amoxyril-CV Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistance Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,5ml of oral suspension contains amoxicillin trihydrate equivalent to 400mg amoxicillin and potassium clavulanate equivalent to 57mg of clavulanic acid. Every ml of oral suspension contains 2.5 mg aspartame (E951).
15,ambrodil-s syrup,,,,,,Headache,Palpitations,Upset stomach,Tremors,Muscle cramp,Allergic reaction,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,No,RESPIRATORY,,"Ambrodil S Syrup 100 ml consists of two medicines, namely: Salbutamol (widens narrowed airways) and Ambroxol (dilutes viscous cough). Salbutamol belongs to the class of drugs known as 'bronchodilators' that works by widening and relaxing the airways (bronchi) of the lungs."
16,arkamin tablet,Albamine 100mcg Tablet,Arkapres 100 Tablet,Cloud 100mcg Tablet,Closidin 100mcg Tablet,Cata-Dict 0.1 Tablet,Dizziness,Dryness in mouth,Headache,Nausea,Fatigue,Orthostatic hypotension (sudden lowering of blood pressure on standing),Erectile dysfunction,Enlarged salivary gland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,Imidazoline derivative,No,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics),"Arkamin contains clonidine as the active component. This medicine dilates the blood vessels and decreases high blood pressure. Arkamin tablet should be taken as directed by the doctor and in doses and duration as prescribed. Do not stop taking Arkamin medicine, as it results in a sudden spike in blood pressure levels.15 Jan 2023"
17,avomine tablet,Propazine Tablet,Progene 25mg Tablet,Proz 25mg Tablet,Prometh 25mg Tablet,Emin 25mg Tablet,Unusual production of breast milk in women and men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nausea,Treatment of Vomiting,Treatment of Allergic conditions,Treatment of Motion sickness,,Phenothiazine Derivative,No,GASTRO INTESTINAL,H1 Antihistaminics (First Generation),"Avomine 25 MG Description

 It is also used for the treatment of nausea and vomiting caused due to motion sickness. Avomine contains promethazine as its active ingredient. Promethazine in tab Avomine works by opposing the action of histamine (natural substances produced in the body during allergic conditions).8 Feb 2024"
18,asthakind-dx syrup sugar free,Wytuss-DMR Syrup Mint Sugar Free,Dcrocof-DX Syrup Sugar Free,Broxino-DX Syrup Sugar Free,Imotus D Syrup,Brikuff-DX Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,Product Summary
19,allegra 180mg tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Mavifex 180mg Tablet,Histafree 180 Tablet,Vilofex 180 Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation),ALLEGRA 180MG TABLET contains Fexofenadine which belongs to the group of medicines called Antihistamines. It is used in adults and children (aged above 12 years) to provide relief from symptoms of hay fever or seasonal allergic rhinitis.5 Jan 2023
20,albendazole 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents,"Albendazole is a carbamate ester that is methyl 1H-benzimidazol-2-ylcarbamate substituted by a propylsulfanyl group at position 5. It is commonly used in the treatment of parasitic worm infestations. It has a role as a tubulin modulator, a microtubule-destabilising agent and an anthelminthic drug."
21,asthalin syrup,Brethmol 2mg/5ml Syrup,Salvent 2mg Syrup,Ralbet 2mg Syrup,Asthabon 2mg Syrup,VENTORLIN 2MG/5ML SYRUP,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists,"The active ingredient in Asthalin syrup is salbutamol, which works by widening the airways of the lungs and making breathing easier. It's crucial to take this medicine exactly as your doctor directs, using a measuring cup or spoon for the exact quantity.5 days ago"
22,alprax 0.25 tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines,"Alprax 0.25mg has alprazolam as its main ingredient. Alprax 0.25mg tablet enhances the effect of the chemical substance GABA, thereby reducing and inhibiting the abnormal and excessive nerve cells and nerve transmission within the brain.21 Sept 2021"
23,altraday capsule sr,Krd AR 200mg/20mg Capsule SR,Rient-A Capsule SR,Rabispan-AC Capsule SR,Douxrab Ace 200mg/20mg Capsule SR,Rabewan AC 200mg/20mg Capsule SR,Nausea,Flatulence,Indigestion,Diarrhea,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,Altraday Capsule SR is a pain reliever that combines two medications: Aceclofenac and Rabeprazole. Aceclofenac is a nonsteroidal anti-inflammatory drug (NSAID) that works by blocking the release of chemical messengers that cause pain and inflammation (redness and swelling).
24,ativan 2mg tablet,Zepnap 2mg Tablet,Lorel 2mg Tablet,Texina 2mg Tablet,Larpose 2mg Tablet,Zelor 2mg Tablet,Fatigue,Balance disorder (loss of balance),Dizziness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines,"Each Ativan (lorazepam) tablet, to be taken orally, contains 0.5 mg, 1 mg, or 2 mg of lorazepam. The inactive ingredients present are lactose monohydrate, magnesium stearate, microcrystalline cellulose, and polacrilin potassium."
25,ascoril ls junior syrup,Bronkolyte Levo PD Syrup,Nakuf LS Syrup,Cleartuss LS Syrup,Chericof-LS Junior Syrup,Ventiphylline LS Junior Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Ascoril LS Junior Syrup is a combination of three medicines: Ambroxol, Levosalbutamol / Levalbuterol, Guaifenesin. It is used in the treatment of cough with mucus. Ambroxol is a mucolytic. It thins and loosens the mucus (phlegm) which makes it easier to cough out."
26,asthalin 100mcg inhaler,RHEOLIN 100 MCG INHALER,Ventorlin Inhaler CFC Free,Bronkonat 100mcg Inhaler,Durasal Breathaler 100mcg Inhaler,Asthavent 100mcg Inhaler,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists,"Asthalin inhaler contains salbutamol as its main ingredient whereas Foracort inhaler contains a combination of two medicines - formoterol and budesonide. Based on the severity of your condition your doctor will prescribe suitable medicine for your condition, avoid self medication.16 Feb 2024"
27,almox 500 capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins Penicillins,No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin,"A: Yes, Almox 500 contains amoxicillin as an active ingredient. It is an antibiotic medicine used to treat bacterial infections like infection of the lungs, airways, tonsils and throat, skin and urinary tract infections.26 Apr 2023"
28,atarax 10mg tablet,Evall 10mg Tablet,Hydil 10mg Tablet,Stoprax 10mg Tablet,Hynorax 10mg Tablet,Hydrobal 10 Tablet,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation),"ATARAX 10MG TABLET contains Hydroxyzine which belongs to the group of medicines called Antihistamines. It is used to treat allergic reactions (itching, sneezing), for anxiety and tension as well as for sedation (for inducing sleep in medical conditions and after anesthesia).22 Mar 2023"
29,aciloc rd 20 tablet,Zydero 10mg/20mg Tablet,Try DM 10mg/20mg Tablet,Omtro D 10mg/20mg Tablet,Prazowel D 10mg/20mg Tablet,Ospicid D 10mg/20mg Tablet,Diarrhea,Stomach pain,Dryness in mouth,Headache,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,No,GASTRO INTESTINAL,,ACILOC RD 20 TABLET contains two medicines namely domperidone and omeprazole. Domperidone is a prokinetic medicine with anti-emetic properties. It works by blocking the actions of a chemical messenger called dopamine in the gut and across the brain and spinal cord.2 Nov 2022
30,aldactone tablet,Aldobloc 25mg Tablet,Spirix 25mg Tablet,Spiromax 25mg Tablet,Spirolact 25mg Tablet,Spironot 25 Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics,"ALDACTONE® Description11 DESCRIPTION. ALDACTONE oral tablets contain 25 mg, 50 mg, or 100 mg of the aldosterone antagonist spironolactone, 17-hydroxy-7α-mercapto-3-oxo-17α-pregn-4-ene-21-carboxylic acid γ-lactone acetate, which has the following structural formula: ... 11 DESCRIPTION."
31,allegra suspension raspberry & vanilla,Fexovis 30mg Oral Suspension,Fextric Oral Suspension,Fexonix Oral Suspension,Fext Oral Suspension,Xaria Kidz Oral Suspension Mango,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation),"Allegra Suspension Raspberry & Vanilla: View Uses, Side Effects ..."
32,atarax syrup,Hydil 10mg Syrup,Pru 10mg Syrup,Hedosat 10mg Syrup,Livrox 10mg Syrup,Anzine 10mg Syrup,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation),"What form(s) does this medication come in? Each 5 mL of mint-flavoured syrup contains 10 mg of hydroxyzine hydrochloride and 1.5 mg of sodium benzoate. Nonmedicinal ingredients: sucrose, water, alcohol, menthol, spearmint oil, peppermint oil, and sodium hydroxide or hydrochloric acid (for pH adjustment)."
33,amlokind-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,Q: What is the composition of Amlokind-AT? A: Amlokind-AT is a combination medicine containing amlodipine and atenolol as its active components.29 Jan 2024
34,axcer  90mg tablet,Tikacad 90 Tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticavic 90 Tablet,Bleeding,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Triazolopyrimidines,No,BLOOD RELATED,P2Y12 inhibitors (ADP receptor),"A: Axcer 90 contains ticagrelor, as the main ingredient. Ticagrelor is an antiplatelet medicine. It prevents the formation of a blood clot by not allowing the platelets to stick together in the blood. This prevents clot formation and blockage of important vessels in the heart or other parts of the body.5 Aug 2023"
35,ativan 1mg tablet,Lzepam 1mg Tablet,Lopam 1mg Tablet,Zepnap 1mg Tablet,Lorel 1mg Tablet,Larpose 1mg Tablet,Dizziness,Weakness,Sedation,Balance disorder (loss of balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines,"It is a nearly white powder almost insoluble in water. Each Ativan (lorazepam) tablet, to be taken orally, contains 0.5 mg, 1 mg, or 2 mg of lorazepam. The inactive ingredients present are lactose monohydrate, magnesium stearate, microcrystalline cellulose, and polacrilin potassium."
36,alkasol oral solution,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout,"Alkasol Oral Solution 450 ml contains disodium hydrogen citrate, which metabolises to bicarbonate and increases the excretion of free bicarbonate ions; this increases the solubility of cysteine in the urine and ionises uric acid to soluble urate ion."
37,aldigesic p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Aldigesic P 100mg/325mg Tablet: View Uses, Side Effects ... - 1mg"
38,alfoo 10mg tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,No,UROLOGY,Uroselective adrenergic receptor(α1a) antagonist,"Alfoo 10 MG Description

 It contains alfuzosin as its active ingredient. It helps improve symptoms such as painful urination, difficulty in passing urine and urinary frequency and urgency. Alfoo tablet works by relaxing the muscles of the bladder and prostate gland.2 Mar 2023"
39,alprax 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines,"Alprax Mt tablet contains Alprazolam-0.5mg as an active ingredient. Alprazolam works by increasing the activity of Gamma-aminobutyric acid (GABA), a natural chemical messenger in the brain.4 Jun 2022"
40,arachitol 6l injection,Sychitol 600000IU Injection,Devita 600000IU Injection,Huch D3 Injection,Dvital 600000IU Injection,Gen-D3 600000IU Injection,"Injection site reactions (pain, swelling, redness)",Weakness,Muscle pain,Metallic taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin D deficiency,Treatment of Osteoporosis,,,,Vitamin D Derivative [cholecalciferol],No,VITAMINS MINERALS NUTRIENTS,Vitamins,"Arachitol 6L Injection 6X1 ml contains Vitamin-D3 (Cholecalciferol), a fat-soluble vitamin. It helps maintain blood calcium and phosphorus levels and the mineralization of bone. It is used to treat and prevent bone disorders, such as rickets and osteomalacia."
41,anafortan 25 mg/300 mg tablet,Carespas CP 25mg/300mg Tablet,Camyfyl 25mg/300mg Tablet,Cyclobid CP 25mg/300mg Tablet,Camylyn-P Tablet,Cyclobrex CP 25mg/300mg Tablet,Dryness in mouth,Constipation,Blurred vision,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Abdominal pain,,,,,,No,GASTRO INTESTINAL,,"Anafortan 25 mg/300 mg Tablet: View Uses, Side Effects ... - 1mg"
42,alex junior syrup,Kuffery-DMR Junior Syrup,Rizet DX Jr Syrup Kiwi,Irinil D Syrup,Dexgen Syrup,Abrotus DX Junior Syrup,Upset stomach,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Alex Junior Syrup is a combination of two medicines: Chlorpheniramine Maleate and Dextromethorphan Hydrobromide, which relieves dry cough. Chlorpheniramine Maleate is an antiallergic which helps reduce cough associated with allergies by blocking the effects of a chemical messenger, histamine.23 Jan 2024"
43,azithral 200 liquid,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azee 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"It contains azithromycin, which belongs to an antibiotic class of medicine. It works by inhibiting the growth of the bacteria and killing the various susceptible bacterial organisms. Azithral 200mg Liquid is designed to be used only by children.13 Apr 2022"
