id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
11,aciloc 150 tablet,Zinemac 150 Tablet,Monoloc 150mg Tablet,Ranitas 150mg Tablet,Ranloc 150mg Tablet,Zynol 150mg Tablet,Headache,Diarrhea,Gastrointestinal disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Aralkylamines Derivative,No,GASTRO INTESTINAL,H2 Receptor Blocker
12,alex syrup,Alkof Junior Syrup,Respicure-D Syrup,Torex Junior Syrup,Chericof Syrup,Respicure-D Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
13,anovate cream,Pilo GO Cream,PileClear Cream,Proctosedyl BD Cream,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Piles,,,,,,No,DERMA,
14,augmentin duo oral suspension,Goldclav Oral Suspension,Moxiclip Dry Syrup,Tervis DS Oral Suspension,Bestomax Dry Syrup,Amoxyril-CV Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistance Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,
15,ambrodil-s syrup,,,,,,Headache,Palpitations,Upset stomach,Tremors,Muscle cramp,Allergic reaction,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,No,RESPIRATORY,
16,arkamin tablet,Albamine 100mcg Tablet,Arkapres 100 Tablet,Cloud 100mcg Tablet,Closidin 100mcg Tablet,Cata-Dict 0.1 Tablet,Dizziness,Dryness in mouth,Headache,Nausea,Fatigue,Orthostatic hypotension (sudden lowering of blood pressure on standing),Erectile dysfunction,Enlarged salivary gland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,Imidazoline derivative,No,CARDIAC,Alpha 2-adrenoceptors agonist (Central sympatholytics)
17,avomine tablet,Propazine Tablet,Progene 25mg Tablet,Proz 25mg Tablet,Prometh 25mg Tablet,Emin 25mg Tablet,Unusual production of breast milk in women and men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nausea,Treatment of Vomiting,Treatment of Allergic conditions,Treatment of Motion sickness,,Phenothiazine Derivative,No,GASTRO INTESTINAL,H1 Antihistaminics (First Generation)
18,asthakind-dx syrup sugar free,Wytuss-DMR Syrup Mint Sugar Free,Dcrocof-DX Syrup Sugar Free,Broxino-DX Syrup Sugar Free,Imotus D Syrup,Brikuff-DX Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
19,allegra 180mg tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Mavifex 180mg Tablet,Histafree 180 Tablet,Vilofex 180 Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
20,albendazole 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes,Nausea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parasitic infections,,,,,2-Benzimidazolylcarbamic acid esters,No,ANTI INFECTIVES,Antiprotozoal agents
21,asthalin syrup,Brethmol 2mg/5ml Syrup,Salvent 2mg Syrup,Ralbet 2mg Syrup,Asthabon 2mg Syrup,VENTORLIN 2MG/5ML SYRUP,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists
22,alprax 0.25 tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
23,altraday capsule sr,Krd AR 200mg/20mg Capsule SR,Rient-A Capsule SR,Rabispan-AC Capsule SR,Douxrab Ace 200mg/20mg Capsule SR,Rabewan AC 200mg/20mg Capsule SR,Nausea,Flatulence,Indigestion,Diarrhea,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
24,ativan 2mg tablet,Zepnap 2mg Tablet,Lorel 2mg Tablet,Texina 2mg Tablet,Larpose 2mg Tablet,Zelor 2mg Tablet,Fatigue,Balance disorder (loss of balance),Dizziness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines
25,ascoril ls junior syrup,Bronkolyte Levo PD Syrup,Nakuf LS Syrup,Cleartuss LS Syrup,Chericof-LS Junior Syrup,Ventiphylline LS Junior Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,
26,asthalin 100mcg inhaler,RHEOLIN 100 MCG INHALER,Ventorlin Inhaler CFC Free,Bronkonat 100mcg Inhaler,Durasal Breathaler 100mcg Inhaler,Asthavent 100mcg Inhaler,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists
27,almox 500 capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins Penicillins,No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin
28,atarax 10mg tablet,Evall 10mg Tablet,Hydil 10mg Tablet,Stoprax 10mg Tablet,Hynorax 10mg Tablet,Hydrobal 10 Tablet,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation)
29,aciloc rd 20 tablet,Zydero 10mg/20mg Tablet,Try DM 10mg/20mg Tablet,Omtro D 10mg/20mg Tablet,Prazowel D 10mg/20mg Tablet,Ospicid D 10mg/20mg Tablet,Diarrhea,Stomach pain,Dryness in mouth,Headache,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,No,GASTRO INTESTINAL,
30,aldactone tablet,Aldobloc 25mg Tablet,Spirix 25mg Tablet,Spiromax 25mg Tablet,Spirolact 25mg Tablet,Spironot 25 Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics
31,allegra suspension raspberry & vanilla,Fexovis 30mg Oral Suspension,Fextric Oral Suspension,Fexonix Oral Suspension,Fext Oral Suspension,Xaria Kidz Oral Suspension Mango,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
32,atarax syrup,Hydil 10mg Syrup,Pru 10mg Syrup,Hedosat 10mg Syrup,Livrox 10mg Syrup,Anzine 10mg Syrup,Sedation,Nausea,Vomiting,Upset stomach,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Skin conditions with inflammation & itching,,,,Piperazine Derivative,No,RESPIRATORY,H1 Antihistaminics (First Generation)
33,amlokind-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,
34,axcer  90mg tablet,Tikacad 90 Tablet,Brigrel Tablet,Xygrel 90 Tablet,Ticastro 90 Tablet,Ticavic 90 Tablet,Bleeding,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Triazolopyrimidines,No,BLOOD RELATED,P2Y12 inhibitors (ADP receptor)
35,ativan 1mg tablet,Lzepam 1mg Tablet,Lopam 1mg Tablet,Zepnap 1mg Tablet,Lorel 1mg Tablet,Larpose 1mg Tablet,Dizziness,Weakness,Sedation,Balance disorder (loss of balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Short term anxiety,Treatment of Anxiety disorder,,,,Benzodiazepines Derivative,Yes,RESPIRATORY,Benzodiazepines
36,alkasol oral solution,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout
37,aldigesic p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
38,alfoo 10mg tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,No,UROLOGY,Uroselective adrenergic receptor(α1a) antagonist
39,alprax 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
40,arachitol 6l injection,Sychitol 600000IU Injection,Devita 600000IU Injection,Huch D3 Injection,Dvital 600000IU Injection,Gen-D3 600000IU Injection,"Injection site reactions (pain, swelling, redness)",Weakness,Muscle pain,Metallic taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin D deficiency,Treatment of Osteoporosis,,,,Vitamin D Derivative [cholecalciferol],No,VITAMINS MINERALS NUTRIENTS,Vitamins
41,anafortan 25 mg/300 mg tablet,Carespas CP 25mg/300mg Tablet,Camyfyl 25mg/300mg Tablet,Cyclobid CP 25mg/300mg Tablet,Camylyn-P Tablet,Cyclobrex CP 25mg/300mg Tablet,Dryness in mouth,Constipation,Blurred vision,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Abdominal pain,,,,,,No,GASTRO INTESTINAL,
42,alex junior syrup,Kuffery-DMR Junior Syrup,Rizet DX Jr Syrup Kiwi,Irinil D Syrup,Dexgen Syrup,Abrotus DX Junior Syrup,Upset stomach,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
43,azithral 200 liquid,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azee 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
44,ab phylline capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
45,althrocin 500 tablet,Erythromycin Estol 500mg Tablet,Eryster 500mg Tablet,Eltocin 500mg Tablet,Erytho 500mg Tablet,Elucin 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
46,augmentin dds suspension,Bactoclav DS 457 Dry Syrup,Extclav-DS Dry Syrup,Clavio-DS Oral Suspension,Medgud-CV Forte Dry Syrup,Clomaxin-DS Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,
47,azicip 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
48,aldigesic-sp tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
49,amoxycillin 500mg capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin
50,asthakind expectorant sugar free,Eascof  Expectorant,Ventoranz Cough Expectorant,Eledyl SF Expectorant,Ascoril SF Expectorant,,Nausea,Diarrhea,Bloating,Indigestion,Vomiting,Stomach pain,Sweating,Dizziness,Headache,Skin rash,Hives,Tremors,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,
51,acemiz plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
52,aceclo plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
53,anobliss cream,Nifedip LA  Cream,Anozest Cream,Anomed L Cream,Anorelief Cream,Escot Cream,Anal irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,No,PAIN ANALGESICS,
54,alex cough lozenges lemon ginger,CHERICOF 5MG LOZENGES,Tossex D 5mg Lozenges,,,,Sleepiness,Dizziness,Confusion,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,Methyl Analog of Dextrorphan,No,RESPIRATORY,Cough suppressants
55,asthalin respules,Derihaler 2.5mg Respules,Asthavent 2.5mg Respules,Axamol 2.5mg Respules 2.5ml,Pneumasal 2.5mg Respules (2.5ml Each),,Tachycardia,Tremors,Headache,Palpitations,Increased heart rate,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,Benzyl Alcohols Derivatives,No,RESPIRATORY,Short acting β2-agonists
56,avil injection,Nicophen 22.75mg Injection,Instavil 22.75mg Injection,Eurovil 22.75mg Injection,Kayphen 22.75mg Injection,,Sleepiness,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions,,,,,Pyridines Derivatives,No,RESPIRATORY,H1 Antihistaminics (First Generation)
57,azee 200mg dry syrup,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azmo 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
58,atorva tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
59,asthakind-ls expectorant cola sugar free,Tarific Expectorant,Nakuf LS+ SF Expectorant Cherry Sugar Free,Piritexyl-LS SF Expectorant,Tuspel LS 1 Expectorant,Macbery LS Expectorant Sugar Free,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,
60,ascoril ls drops,Usal LS Drops,Levokof Oral Drops,Coffact-S Drop,Nosicold LS Oral Drops,Zerotuss XP Drop,Vomiting,Diarrhea,Excessive salivation,Fatigue,Headache,Dizziness,Rash,Numbness of extremity,Nausea,Increased heart rate,Stomach discomfort,Palpitations,Tremors,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acute Sore throat,Treatment of Cough with mucus,,,,,No,RESPIRATORY,
61,azmarda 50mg tablet,Sacutan 50 Tablet,Sacurise 50 Tablet,Arney 50 Tablet,Sacuval 50 Tablet,Sacu-V 50 Tablet,Dizziness,Increased potassium level in blood,Fatigue,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart failure,,,,,,No,CARDIAC,
62,amixide-h tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Aculip H 12.5mg/5mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,,,,,,Yes,NEURO CNS,
63,ab-flo-n tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,No,RESPIRATORY,
64,af kit tablet,Afo Kit 1000 mg/750 mg/150 mg Tablet,Femiriv 3 Kit Tablet,Vaginobact 1000 mg/750 mg/150 mg Tablet,,,Taste change,Vomiting,Headache,Dizziness,Stomach pain,Nausea,Indigestion,Diarrhea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Syndromic treatment of vaginal discharge,,,,,,No,GYNAECOLOGICAL,
65,amlokind 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
